ImageId,label
0,5
1,2
2,1
3,10
4,6
5,1
6,9
7,1
8,1
9,8
10,3
11,6
12,5
13,1
14,4
15,4
16,1
17,6
18,3
19,4
20,2
21,10
22,1
23,3
24,2
25,5
26,4
27,1
28,4
29,2
30,8
31,3
32,8
33,6
34,10
35,1
36,5
37,1
38,1
39,2
40,9
41,1
42,6
43,9
44,2
45,6
46,1
47,2
48,10
49,6
50,9
51,1
52,5
53,1
54,9
55,6
56,4
57,5
58,1
59,5
60,2
61,9
62,2
63,4
64,1
65,10
66,6
67,9
68,3
69,2
70,5
71,5
72,1
73,1
74,4
75,6
76,2
77,6
78,3
79,1
80,4
81,1
82,7
83,1
84,2
85,1
86,7
87,1
88,10
89,1
90,4
91,4
92,6
93,4
94,4
95,2
96,2
97,1
98,7
99,7
100,4
101,8
102,2
103,3
104,2
105,2
106,3
107,1
108,8
109,6
110,3
111,7
112,6
113,2
114,10
115,7
116,2
117,7
118,4
119,2
120,8
121,8
122,1
123,7
124,4
125,9
126,3
127,4
128,2
129,2
130,6
131,2
132,6
133,10
134,8
135,2
136,3
137,1
138,10
139,3
140,1
141,2
142,4
143,5
144,7
145,2
146,1
147,3
148,5
149,3
150,1
151,5
152,9
153,1
154,8
155,1
156,4
157,6
158,4
159,6
160,4
161,9
162,3
163,6
164,1
165,10
166,1
167,2
168,5
169,2
170,7
171,5
172,2
173,2
174,1
175,4
176,2
177,9
178,6
179,7
180,1
181,10
182,2
183,1
184,4
185,8
186,3
187,2
188,1
189,6
190,2
191,6
192,1
193,7
194,7
195,3
196,6
197,1
198,1
199,3
200,7
201,2
202,1
203,5
204,6
205,2
206,1
207,10
208,4
209,7
210,1
211,10
212,2
213,3
214,7
215,3
216,1
217,1
218,1
219,2
220,10
221,4
222,7
223,1
224,2
225,9
226,1
227,2
228,2
229,9
230,2
231,5
232,7
233,6
234,1
235,1
236,7
237,6
238,3
239,7
240,7
241,1
242,1
243,4
244,1
245,7
246,3
247,10
248,3
249,6
250,9
251,4
252,10
253,3
254,7
255,3
256,1
257,5
258,2
259,6
260,1
261,8
262,5
263,3
264,3
265,10
266,9
267,7
268,6
269,1
270,9
271,1
272,10
273,3
274,8
275,2
276,3
277,1
278,10
279,1
280,9
281,2
282,5
283,5
284,8
285,9
286,5
287,9
288,1
289,10
290,3
291,2
292,1
293,5
294,7
295,1
296,2
297,9
298,8
299,6
300,7
301,2
302,9
303,2
304,1
305,2
306,5
307,4
308,5
309,3
310,2
311,8
312,9
313,3
314,6
315,1
316,10
317,8
318,7
319,2
320,2
321,1
322,4
323,2
324,6
325,1
326,6
327,6
328,5
329,10
330,2
331,6
332,4
333,1
334,2
335,9
336,2
337,1
338,3
339,7
340,9
341,4
342,4
343,5
344,6
345,9
346,6
347,2
348,3
349,6
350,2
351,9
352,9
353,4
354,2
355,5
356,1
357,6
358,1
359,4
360,7
361,7
362,2
363,6
364,6
365,9
366,2
367,10
368,2
369,1
370,6
371,9
372,6
373,3
374,4
375,2
376,5
377,6
378,3
379,10
380,6
381,7
382,4
383,8
384,2
385,1
386,10
387,7
388,4
389,4
390,2
391,1
392,2
393,2
394,9
395,1
396,6
397,7
398,5
399,8
400,9
401,9
402,5
403,3
404,5
405,2
406,5
407,1
408,2
409,5
410,2
411,6
412,6
413,2
414,6
415,5
416,3
417,1
418,2
419,8
420,4
421,2
422,7
423,4
424,8
425,4
426,3
427,1
428,4
429,1
430,4
431,1
432,7
433,5
434,8
435,7
436,1
437,10
438,4
439,5
440,4
441,7
442,9
443,3
444,1
445,2
446,4
447,8
448,7
449,1
450,3
451,9
452,1
453,8
454,2
455,7
456,1
457,7
458,3
459,5
460,3
461,2
462,2
463,9
464,7
465,4
466,6
467,3
468,4
469,3
470,5
471,1
472,2
473,2
474,1
475,2
476,1
477,2
478,7
479,2
480,3
481,3
482,3
483,1
484,1
485,4
486,3
487,4
488,3
489,3
490,1
491,3
492,7
493,4
494,10
495,4
496,3
497,6
498,6
499,2
500,9
501,1
502,4
503,1
504,10
505,1
506,5
507,4
508,7
509,1
510,5
511,5
512,3
